Advisor,Author,Date,Abstract,URL,Discipline,Keywords,Title,Type
Josy M. Reyes Ylamo,"Reyes Alamo, Jose",2018-08-11T11:43:00.000,"<p>The Service Oriented Computing (SOC) paradigm, defines services as software artifacts whose implementations are separated from their specifications. Application developers rely on services to simplify the design, reduce the development time and cost. Within the SOC paradigm, different Service Oriented Architectures (SOAs) have been developed. These different SOAs provide platform independence, programming-language independence, defined standards, and network support. Even when different SOAs follow the same SOC principles, in practice it is difficult to compose services from heterogeneous architectures. Automatic the process of composition of services from heterogeneous SOAs is not a trivial task.</p>
<p>Current composition tools usually focus on a single SOA, while others do not provide mechanisms for ensuring safety of composite services and their interactions. Given that some services might perform critical operations or manage sensitive data, defining safety for services and checking for compliance is crucial. This work proposes and workflow specification language for composite services that is SOA-independent. It also presents a framework for automatic composition of services of heterogeneous SOAs, supporting web services (WS) and OSGi services as an example. It integrates formal software analysis methods to ensure the safety of composite services and their interactions. Experiments are conducted to study the performance of the composite service generated automatically by the framework with composite services using current composition methods. We use as an example a smart home composite service for the management of medicines, deployed in a regular and in a resource-constrained network environment.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/25651,Computer Sciences,"Formal Methods,Healthcare IT,Requirements Engineering,Service Oriented Architecture,Smart Homes,Software Engineering",A framework for safe composition of heterogeneous SOA services in a pervasive computing environment with resource constraints,dissertation
Samik Basu,"Gunasekharan, Maheedhar",2018-08-11T11:59:57.000,"<p>Over the past decades, cyber attacks have grown in frequency as well as in sophistication.</p>
<p>Often, they elude the counter-measures that are in place due to inadequate expert man-power</p>
<p>that is necessary to manually deploy the correct responses and maintain systems being compromised.</p>
<p>We present a decision support framework to aid in timely deployment and maintenance</p>
<p>of effective responses when intrusive or malicious behavior is detected.</p>
<p>The support framework has two specific objectives: to identify the best set of responses given</p>
<p>the knowledge of the attack and the system being protected; and to identify the minimal set of</p>
<p>responses that must be deployed. While appropriateness of responses is of utmost importance</p>
<p>to safeguard systems from attacks, minimality in the number of responses, an important factor</p>
<p>from the deployment and maintainability perspective, has often been discarded. Our framework</p>
<p>leverages National Vulnerability Database as a source for information about the attacks, relies</p>
<p>on the pre-specified expert knowledge about the responses that can adequately stop attack</p>
<p>and takes into considerations the impact of an attack as well as responses on the system being</p>
<p>protected in terms of well-studied CIA (Confidentiality, Integrity and Availability) vector.</p>
<p>We utilize Trade-off Enhanced Conditional Preference Network (TCP-net) to qualitatively</p>
<p>represent and reason about the CIA priorities of the expert and model the problem of identifying</p>
<p>minimal set of most effective responses into a search problem. The choice of TCP-net stems</p>
<p>from the fact that the CIA priorities are typically qualitative in nature and it has been proven</p>
<p>that quantification of priorities that are inherently qualitative can result in incorrect and often</p>
<p>unexplainable results due to seemingly small perturbations in quantitative measures. Our TCPnet</p>
<p>based computation can generate provably optimal solution where optimality corresponds</p>
<p>to minimality of selected responses. While optimality is an important factor, the necessity</p>
<p>for computing the solution efficiently cannot be overstated, particularly in the context where</p>
<p>timeliness in response deployment is equally important. We investigate and evaluate several</p>
<p>ix</p>
<p>heuristics with the goal of searching part of the potentially large solution space and compute</p>
<p>a solution that is ”close” to the optimal solution. We discuss the relative advantages and</p>
<p>disadvantages of each heuristic, and present a specific one that is efficient in computing the</p>
<p>optimal solution.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/29494,Computer Sciences,"Formal security methods,Intrusion response systems,Security and privacy",A Framework for Selecting the Minimal Set of Preferred Responses to Counter Detected Intrusions,thesis
N/A,"White, Ralph",2018-08-15T13:04:58.000,N/A,https://dr.lib.iastate.edu/handle/20.500.12876/78511,Computer Sciences,Computer science,A graph model for coordinating systems of tasks,dissertation
N/A,"Gieseler, Charles",2020-11-09T01:09:19.000,"<p>This work details a machine learning tool developed to support computational, agent-based simulation research in the social sciences. Specifically, the Java Reinforcement Learning Module (JReLM) is a platform for implementing reinforcement learning algorithms for use in agent-based simulations. The module was designed for use with the Recursive Porous Agent Simulation Toolkit (Repast), an agent-based simulation platform popular in computational social science research. Background, architecture, and implementation of JReLM are discussed within. This includes explanation of pre-implemented tools and algorithms available for immediate use in Repast simulations. In addition, an account of JReLM's use in an agent-based computational economics simulation is included as an illustrative application. Directions for further development and future use in ongoing agent-based computational economics work are discussed as well.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/97918,,Computer science,A Java Reinforcement Learning Module for the Recursive Porous Agent Simulation Toolkit: facilitating study and experimentation with reinforcement learning in social science multi-agent simulations,thesis
N/A,"Elliott, Donald",2018-08-24T18:28:09.000,N/A,https://dr.lib.iastate.edu/handle/20.500.12876/77403,Computer Sciences,"Programming languages (Electronic computers),Electronic digital computers--Design and construction,Simulation methods",A language to describe and simulate multiprocessor computer systems,dissertation
N/A,"Lee, Kyongryun",2020-06-17T02:39:14.000,"<p>In this thesis, we address the problem of estimating count queries on databases quickly, without accessing the database at query time. We accomplish that by building a model of the domain from the database in a preprocessing phase, and use this to answer count queries. The model we use is the Mixture Model of Bayesian Networks (MMBN), which effectively encodes the joint probability distribution of the domain. An MMBN is a weighted model with Bayesian Networks (BNs) as components. We describe how to learn an MMBN model from a database using an instance of the modified Expectation-Maximization (EM) algorithm, called EAM algorithm, and evaluate its accuracy on real and artificial data sets. Experimental results show that MMBNs can represent a data set satisfactorily and can approximate counts with the high degree of accuracy, without accessing the database.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/73133,,Computer science,A Mixture Model of Bayesian Networks,thesis
Shashi K. Gadia,"Tao, Jia",2018-08-24T20:06:34.000,"<p>A database consists of an object space that is information about objects in (some part of) the real world. Every object existing in the real world has properties, including an identity that uniquely distinguishes it from other objects. In a belief database multiple subjects are hypothesized. Subjects have varying beliefs about existence, identities, and other properties of objects. A multilevel security database is a belief database where the subjects form a hierarchy. The upper users can see the object space of lower users but the lower users cannot. In fact lower users may not even be aware of upper users. This paper presents a skeleton based model for storage and query of a multilevel security database. This model follows the parametric approach proposed by Gadia. As in all works in the parametric approach, the central focus of this framework is to support most natural query of data.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/81828,Computer Sciences,Computer science,A model for storage and query of cascading beliefs in multilevel security database,thesis
"Chang, Carl,Tian, Jin,Mitra, Simanta,Aduri, Pavankumar,Rajan, Hridesh","Sun, Peng",N/A,"Non-Functional Requirements (NFRs) have a great impact on all the downstream activities in a software's entire life-cycle. It is important to capture newly emerged NFRs for system evolution. NFRs are treated as quality goals in Goal Oriented  Requirements  Engineering. Under the concept of the goal, the interrelations among users, system agents, and scenarios are complex, so the quality factors related to users' concerns cannot be easily studied. In this study we distill human factor from the concept of goal and deliberately represent NFRs through contribution relations among human desires. By doing so, NFRs can be better exploited from humans' perspective.   We noticed that recent work in the area of requirements engineering shows that through the combinational use of  goal inference, user behavioral and system contextual data functional requirement can be elicited in the form of task-level alternative features. Our basic assumption is that there is a chance to extract new NFRs from user' mental states, specifically their desires, because the concepts of goal and desire are closely connected. A statistical model under the Situ framework is proposed to infer human desires of multiple levels of abstraction from contextual data. In our multi-layered desire inference method, we consider inference results and try to make sense of results with different levels of inference confidence. We ran a case study to show how to elicit users' new NFRs in three cases from the contributing relations among desires in different abstraction levels. To bridge desires and goals in requirements engineering and apply the elicited NFRs on the practical system evolution, we extended the i* framework to build the dependency relations between desire contributing relations and system tasks. Several implications of this work are also discussed.",https://dr.lib.iastate.edu/handle/20.500.12876/nrQBOV0z,Computer science,"Conditional Random Fields,Desires Inference,Nonfunctional Requirement,Software Engineering",A multi-layered desires based framework to detect evolving non-functional requirements of users,dissertation
Akhilesh Tyagi,"Krishnamurthy, Viswanath",2018-08-11T15:03:13.000,"<p>A novel thread scheduler design for polymorphic embedded systems</p>
<p>Abstract:</p>
<p>The ever-increasing complexity of current day embedded systems necessitates that these systems be adaptable and scalable to user demands. With the growing use of consumer electronic devices, embedded computing is steadily approaching the desktop computing trend. End users expect their consumer electronic devices to operate faster than before and offer support for a wide range of applications. In order to accommodate a broad range of user applications, the challenge is to come up with an efficient design for the embedded system scheduler. Hence the primary goal of the thesis is to design a thread scheduler for a polymorphic thread computing embedded system. This is the first ever novel attempt at designing a polymorphic thread scheduler as none of the existing or conventional schedulers have accounted for thread polymorphism. To summarize the thesis work, a dynamic thread scheduler for a Multiple Application, Multithreaded polymorphic system has been implemented with User satisfaction as its objective function. The sigmoid function helps to accurately model end user perception in an embedded system as opposed to the conventional systems where the objective is to maximize/minimize the performance metric such as performance, power, energy etc. The Polymorphic thread scheduler framework which operates in a dynamic environment with N multithreaded applications has been explained and evaluated. Randomly generated Application graphs are used to test the Polymorphic scheduler framework. The benefits obtained by using User Satisfaction as the objective function and the performance enhancements obtained using the novel thread scheduler are demonstrated clearly using the result graphs. The advantages of the proposed greedy thread scheduling algorithm are demonstrated by comparison against conventional thread scheduling approaches like First Come First Serve (FCFS) and priority scheduling schemes.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/25537,Computer Sciences,"Computer Architecture,Embedded Systems,Operating Systems,Polymorphic Computing,Scheduler Design,User satisfaction",A Novel Thread Scheduler Design for Polymorphic Embedded Systems,thesis
Wensheng Zhang,"Fong, Michael",2018-08-11T12:31:27.000,"<p>RFID system has become a technology that many companies would like to adopt as it provides convenience to our society. Increasing competitiveness in the industry has reduced the cost of the technology, but it also raises considerable privacy concerns. Among many RFID applications that have made major impacts on various industries, the RFID-based authentication system has become a solution to resolve a number of issues, for instances, theft, compromised brand, lack of inventory control, supply chain inefficiencies, and etc. Many authentication protocols based on symmetric challenge-response scheme have been developed in order to ensure preservation of privacy. However, many of the these schemes cannot fully protect privacy in the presence of malicious readers or insider attacks.</p>
<p>In this thesis, we first investigated possible security and privacy threats that security engineers face from an RFID system. We then presented a new protocol to authenticate smart tags without exposing their private identities and activity patterns with resource-limited devices, such as RFID smart tags or wireless sensor nodes. We further analyzed the RFID system's security strength against various attacking scenarios, such as eavesdropping, collusive attack or tag-compromise situation, based on extensive experiments to validate the feasibility and security of our proposed solution.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/25854,Computer Sciences,,A privacy-preserving authentication protocol for smart tags,thesis
Shashi K. Gadia,"Nair, Sunil",2018-08-23T16:25:22.000,"<p>In temporal database systems the time varying aspects of data are captured by time-stamping data values. Research in temporal databases has concentrated on developing models in which it is essential that all the information be known;In the present work a relational model for incomplete information is presented. The model allows incomplete temporal information to be stored, and provides a powerful, yet simple, algebra to query the incomplete information;The incomplete information model presented here generalizes a well-known model for temporal databases with complete information. The algebraic expressions in the model produce results that are reliable in the sense that they never report incorrect information. This is shown by introducing the notion of completions of relations and databases. It is also shown that except for certain cases of selection, if the definition of the operators were strengthened to give more information, we could obtain results that are not reliable. This result is obtained by introducing the concepts of extensions of relations and more informative relations;Update operations create, change, and changekey are defined. These operations allow the user to modify the state of the database to reflect changes in the real world, to correct errors in the database, and to increase the information content of incomplete objects as more information becomes available.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/63292,Computer Sciences,Computer science,A relational model for incomplete information in temporal databases,dissertation
Gary T. Leavens,"Cheon, Yoonsik",2018-08-24T19:58:14.000,"<p>The Java Modeling Language (JML) is a formal behavioral interface specification language (BISL) for Java. JML has many advances including specification-only declarations, specifications of interfaces, stateful interfaces, multiple inheritance of specifications, and behavioral subtyping. An approach to runtime assertion checking of JML assertions is presented and implemented as a JML compiler to translate Java programs annotated with JML specifications into Java bytecode. The compiled bytecode transparently checks JML specifications at runtime. The JML compiler supports separate and modular compilation. The approach brings programming benefits such as debugging and testing to BISLs and also helps programmers to use BISLs in their daily programming.;A set of translation rules are defined from JML expressions into assertion checking code. The translation rules handle various kinds of undefinedness, such as runtime exceptions and non-executable constructs, in such a way as to both satisfy the standard rules of logic and detect as many assertion violations as possible. The rules also support various forms of quantifiers. Specification-only declarations such as model fields, ghost fields, and model methods are translated into access methods; e.g., an access method for a model field is an abstraction function that calculates an abstract value from the program state. The specification state of a stateful interface, due to specification-only fields such as ghost fields, is represented as a separate assertion class. Thus, an object's specification state is distributed over the object itself and one assertion object for each interface that its class implements. Assertion checking is also distributed in that a subtype delegates the responsibility of checking inherited specifications to its supertypes (or the assertion classes of its superinterfaces). The delegation approach supports multiple inheritance, and is modular.;Finally, the effectiveness and practicality of runtime assertion checking is demonstrated by applying it to program testing. An approach is implemented that significantly automates unit testing. The key idea of the approach is to view interface specifications as test oracles and to use the runtime assertion checker as the decision procedure of the test oracles. The approach also shows that the runtime assertion checker can be an effective framework for developing specification-based tools.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/78385,Computer Sciences,Computer science,A runtime assertion checker for the Java Modeling Language,dissertation
"Jannesari, Ali,Zhang, Wensheng,Cai, Ying","Bengre, Vivek LN",N/A,"Many algorithms have been designed to break a large job into manageable/parallelizable bits. The smaller job chunks are structured as a directed acyclic graph (DAG) to link the dependencies together.  The challenge of such a framework is the complexity in scheduling each stage/node in a collection of jobs/DAGs.  This problem is especially pronounced for High-Frequency job arrivals, as selecting a node/stage and allocating executors to minimize the average job completion time(JCT) is an NP-hard problem.  Since the number of executors is always limited, having multiple executors assigned to one job when there is a stream of incoming jobs can worsen the average job completion time of a given job set.  This thesis shows that we can derive highly efficient policies by allocating a unit of computing power across executable stages/nodes in conjunction with a learned scheduling model.  We utilize reinforcement learning(RL) and graph neural networks(GNN) to learn patterns in complex job graphs and reduce overall job completion time.  Our experiments show up to 20% improvement in job completion time compared todecima[Mao et al. (2018)] and a tuned heuristic-based scheduler.  Our experiments also show better, more efficient resource allocation and utilization.",https://dr.lib.iastate.edu/handle/20.500.12876/KrZJRMbr,Computer science,"Apache Spark,Graph Neural Networks,High Frequency Job Arrival,Machine Learning,Optimization,Streaming",A scheduler for high frequency job arrival using graph neural networks,thesis
N/A,"Campbell, Jerry",2018-08-15T05:42:49.000,N/A,https://dr.lib.iastate.edu/handle/20.500.12876/78748,Computer Sciences,Computer science,A software organization for the control of multiple processes,dissertation
"Jin Tian,Doug Jacobson,Shashi Gadia","Liu, Lexin",2018-08-22T17:05:01.000,"<p>Knowing the cause and effect is important to researchers who are interested in modeling the effects of actions. One commonly used method for modeling cause and effect is graphical model. Bayesian Network is a probabilistic graphical model for representing and reasoning uncertain knowledge. A common graphical causal model used by many researchers is a directed acyclic graph (DAG) with causal interpretation known as the causal Bayesian network (BN). Causal reasoning is the causal interpretation part of a causal Bayesian Network. They enable people to find meaningful order in events that might otherwise appear random and chaotic. Further more, they can even help people to plan and predict the future. We develop a software system, which is a set of tools to solve causal reasoning problems, such as to identify unconditional causal effects, to identify conditional causal effects and to find constraints in a causal Bayesian Networks with hidden variables.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/69068,Computer Sciences,Computer science,A software system for causal reasoning in causal Bayesian networks,thesis
"Gary T. Leavens,Krishna Rajan,Hridesh Rajan","Taylor, Kristina",2018-08-23T11:27:56.000,"<p>Design by contract specification languages help programmers write their intentions for a piece of code in a formal mathematical language.  Most programming languages do not have built-in syntax for such specifications, so many design by contract languages place specifications in comments.  The Java Modeling Language (JML) is one such specification language for Java that uses comments to specify contracts.  However, starting with version 5, Java has introduced annotations, a syntactical structure to place metadata in various places in the code.  This thesis proposes an initial design to writing JML contracts in the Java 5 annotation syntax and evaluates several criteria in the areas of specification languages and Java language design: whether these annotations are expressive enough to take advantage of annotation simplicity and tool support, and whether the annotation syntax is expressive enough to support handling a large specification language such as JML.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/68508,Computer Sciences,Computer science,A specification language design for the Java Modeling Language (JML) using Java 5 annotations,thesis
"Le, Wei,Mitra, Simanta,Zhang, Wensheng","Guo, Xiuyuan",N/A,"Static analysis is widely used for software assurance. However, static analysis tools can report
an overwhelming number of warnings, many of which are false positives. Applying the static
analysis to a new version can result in a large number of warnings that are only relevant to the
old version. Inspecting these warnings is time-consuming and can hinder developers from finding
new bugs in the new version. We report the challenges of cascading warnings generated from two
versions of programs. We investigated program differencing tools and extended them to perform
warning cascading automatically. Specifically, we used the textual-based diff tool, namely SCALe,
abstract syntax tree (AST) based diff tool, namely GumTree, and control flow graph (CFG) based
diff tool, namely Hydrogen. We reported our experience of applying these tools, and hopefully,
our findings can help developers understand of pros and cons of each approach. In our evaluation,
we used 96 pairs of benchmark programs for which we know ground-truth bugs and fixes as well
as 12 pairs of real-world open-source projects. Our tools and data are available at
https://github.com/WarningCas/WarningCascading_Data.",https://dr.lib.iastate.edu/handle/20.500.12876/GvqXLoLw,Computer science,"Software Engineer,Static Analysis,Warning Cascading",A study of static warning cascading tool,thesis
